accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
0.9804511278195489,0.9808482736156954,0.9803875730290802,0.9805821594345769,0.9805170105499235,0.9804511278195489,0.9804480248471381
0.9706766917293234,0.9708166437588739,0.9705485190745,0.9705264070853199,0.9707027841997712,0.9706766917293234,0.9705366672282213
0.9721804511278196,0.972544007873689,0.9725088357862532,0.972479760121265,0.9722508413025771,0.9721804511278196,0.9721667994571482
0.969172932330827,0.9698599248700688,0.9696289980432956,0.9695266182053789,0.9695212028324749,0.969172932330827,0.9691263784907065
0.9736842105263158,0.9750790230585482,0.9747855206836562,0.9748196906350272,0.9738433731186055,0.9736842105263158,0.9736457496079598
0.9766917293233083,0.9770715904074996,0.9766954054349011,0.9768589126529639,0.9767323032470742,0.9766917293233083,0.9766874168072197
0.9676691729323308,0.9680842131361318,0.9682641758968424,0.9680832326861021,0.9677949804265432,0.9676691729323308,0.9676440567233192
0.969172932330827,0.9684148216731516,0.9686400502177328,0.9683738204498324,0.9692323470728353,0.969172932330827,0.9690490935364146
0.9766917293233083,0.9765888758931004,0.9767153297406231,0.9766219984699036,0.97662661027258,0.9766917293233083,0.9766296065974844
0.9729323308270676,0.9732305884479796,0.9728363536950081,0.9729021520879748,0.9730203847644187,0.9729323308270676,0.9728457386079762
0.9676691729323308,0.9667622736107218,0.9678357930633013,0.9671902582500553,0.967887566585687,0.9676691729323308,0.9676648443562899
0.9736842105263158,0.9736276970128527,0.9734925799675291,0.9735506538751029,0.9736778457784312,0.9736842105263158,0.9736715395273478
0.9706766917293234,0.9707712436202138,0.970745963140477,0.9706205669404453,0.9706678173416099,0.9706766917293234,0.9705317988440337
0.9744360902255639,0.9750343964152155,0.9747451703607573,0.9748176133461133,0.9743569095184976,0.9744360902255639,0.9743241560761479
0.9714285714285714,0.9708583672291466,0.9706943578641305,0.9707392805805611,0.9714020770763178,0.9714285714285714,0.9713778849688774
0.9729323308270676,0.9730652015198537,0.9735153394284453,0.9732690434833774,0.9729238930810483,0.9729323308270676,0.9729070163995723
0.9721804511278196,0.9720862095172202,0.9713974096317916,0.9716716457972725,0.9723379493752227,0.9721804511278196,0.9721892520001014
0.9729323308270676,0.9729420768875903,0.973370855661339,0.9730941541360597,0.9730397972341785,0.9729323308270676,0.9729230729138627
0.969172932330827,0.968137965193445,0.967930402930403,0.9679901102702452,0.9692620549823093,0.969172932330827,0.9691737346461861
0.9759398496240601,0.9769342757345854,0.9759965246451934,0.9763382032578531,0.976111856952455,0.9759398496240601,0.9759004832118782
0.9646616541353383,0.9641727947304043,0.9645237883789163,0.9640583691658854,0.9649221346427231,0.9646616541353383,0.9645060258305058
0.9699248120300752,0.9703964751863137,0.9709022351533079,0.9704024770785178,0.9701531377110787,0.9699248120300752,0.9697937192301318
0.9759398496240601,0.9756967827314622,0.9757420085058055,0.9756844865794158,0.9759791689350826,0.9759398496240601,0.9759245231284787
0.9744360902255639,0.9738727812427357,0.9733520876417556,0.9735527414426496,0.974433403728588,0.9744360902255639,0.9743760741755867
0.9706766917293234,0.9707134259310625,0.9705329518226442,0.9705796594057909,0.9708493418300526,0.9706766917293234,0.9707192754418412
0.9759398496240601,0.975252583903013,0.975314754123221,0.9750003854066517,0.9763997111006829,0.9759398496240601,0.9758972348546374
0.9699248120300752,0.9689748959708766,0.969756615755637,0.9692433447696593,0.970031738015045,0.9699248120300752,0.9698549397632086
0.969172932330827,0.9697730465148098,0.9701959218538203,0.969877161767867,0.9693041608846366,0.969172932330827,0.9691293000384256
0.9729323308270676,0.9730961311890003,0.9726886715164318,0.9727066871764564,0.9730765363317514,0.9729323308270676,0.9728205988296347
0.9721804511278196,0.9724534872638946,0.9714417273874425,0.9717522473811148,0.9723662400365679,0.9721804511278196,0.9720811828635308
0.9714285714285714,0.9714983974618342,0.9712622657463669,0.9713368131217204,0.9715229170088642,0.9714285714285714,0.9714333771997099
0.975187969924812,0.9757904557678072,0.9756738228296353,0.9755044693063087,0.9755332682227409,0.975187969924812,0.9751287901356165
0.9796992481203007,0.9797463766666533,0.9792902996697807,0.979490762552609,0.9797686209687683,0.9796992481203007,0.979706996483871
0.9729323308270676,0.9734100227696153,0.9733765595834563,0.9732318503661272,0.9730964460649577,0.9729323308270676,0.9728509560365645
0.9744360902255639,0.9735642040683137,0.9730817924371149,0.9732820083319256,0.9744625288681312,0.9744360902255639,0.9744067454181383
0.9736842105263158,0.9733134101853202,0.9739807159818866,0.9733027096521871,0.974251273741043,0.9736842105263158,0.9736254806742044
0.9736842105263158,0.9736896415131711,0.9734901717237434,0.9734860361883693,0.9737498105036805,0.9736842105263158,0.9736136537674298
0.9624060150375939,0.9632577624500772,0.9645996550596883,0.9635639190696406,0.9627126230881534,0.9624060150375939,0.9621849450902364
0.969172932330827,0.9678924815418692,0.9678711255402913,0.9678283897748381,0.9692288246599963,0.969172932330827,0.9691483673546845
0.9744360902255639,0.9742604532012343,0.9745942972156995,0.9742616949406342,0.9746477287963324,0.9744360902255639,0.9743751095743668
0.9729323308270676,0.9720899650969287,0.971664389187173,0.9717436793634373,0.9730612759799737,0.9729323308270676,0.9728647693254898
0.9699248120300752,0.9715226264564603,0.9713825344695216,0.9714013689052013,0.9699004867022092,0.9699248120300752,0.9698607085859022
0.9661654135338346,0.9661880711516515,0.9660655504372672,0.9659938732303374,0.9662188218164158,0.9661654135338346,0.9660606682584727
0.9721804511278196,0.9726250424016282,0.9727389269136253,0.9726428483109408,0.9722211466484223,0.9721804511278196,0.9721617157427649
0.9729323308270676,0.9732655053296391,0.9727863600286506,0.9729224407036992,0.9730856985895219,0.9729323308270676,0.9729057294860555
0.9714285714285714,0.9717346951142778,0.9712191781844994,0.9714338354605655,0.9714830967937929,0.9714285714285714,0.9714145593165808
0.9714285714285714,0.9714553137171251,0.9720022734411223,0.9715972063994689,0.9714791967755365,0.9714285714285714,0.9713200529754537
0.9721804511278196,0.9732882422406309,0.9734432168204249,0.9732880009139038,0.9721814690660285,0.9721804511278196,0.9721061366832467
0.9699248120300752,0.9691828977937785,0.9690887915896564,0.9690843519930601,0.9699406586172853,0.9699248120300752,0.9698814472657162
0.9759398496240601,0.9759732690271511,0.9759059558245073,0.975866205220217,0.9759820910095601,0.9759398496240601,0.9758877288799839
0.9736842105263158,0.9735985693453285,0.973539277417909,0.9734753862172081,0.9737644887014026,0.9736842105263158,0.9736319044720853
0.9616541353383459,0.9615069060871688,0.9620319485062196,0.9612989702905772,0.9621710780333481,0.9616541353383459,0.9614383210997661
0.969172932330827,0.9708765008676188,0.9710320020104659,0.9708383333457862,0.9692517131686742,0.969172932330827,0.9690968543119244
0.9706766917293234,0.9711293228007258,0.9703926094786988,0.9706741568716399,0.970730249779924,0.9706766917293234,0.9706155378994494
0.9736842105263158,0.973884230459003,0.9739451251078517,0.973737525232702,0.97386488215185,0.9736842105263158,0.9735964881717649
0.9661654135338346,0.9661883486308664,0.966988074292216,0.966474206679727,0.9661578012988392,0.9661654135338346,0.9660497289083086
0.9796992481203007,0.9796280153908776,0.9796970786120097,0.9796458651330372,0.9797079957587487,0.9796992481203007,0.9796869063740643
0.9759398496240601,0.9771935797665371,0.9771313646074418,0.976907333266805,0.9764607577384047,0.9759398496240601,0.9759329125344086
0.9744360902255639,0.9747378861686844,0.974589629276353,0.9746145269600474,0.9744513664554239,0.9744360902255639,0.9743937418006817
0.9631578947368421,0.9636696507897995,0.9635448863267604,0.9634324975374641,0.9631805719514639,0.9631578947368421,0.9629935121798882
0.9781954887218045,0.9779056147495062,0.9779683859380992,0.977863711581804,0.9783309415417363,0.9781954887218045,0.9781867396484067
0.9744360902255639,0.9738320102327297,0.9738216293313198,0.9737781246508558,0.9744301231406368,0.9744360902255639,0.9743844914396453
0.969172932330827,0.9698459592454969,0.9692678685550803,0.9693517693834262,0.9694351371039832,0.969172932330827,0.969097781125198
0.9729323308270676,0.9732998535109261,0.9730604317842143,0.9731201152951442,0.9729782429570453,0.9729323308270676,0.9728963881942297
0.975187969924812,0.9745716945175079,0.9750559522090887,0.9747145278770486,0.9752487262317543,0.975187969924812,0.9751182345050304
0.975187969924812,0.9749356718094535,0.9741881120725513,0.9743697385215032,0.9754634499377584,0.975187969924812,0.9751404812555458
0.9706766917293234,0.9706201718004877,0.9712309268398396,0.9707127715090555,0.9710662364425585,0.9706766917293234,0.9706554687468524
0.968421052631579,0.9686899709964815,0.9692530146316141,0.968768694534573,0.9687778060380337,0.968421052631579,0.9683975007087178
0.9699248120300752,0.9708972759164057,0.9704281480580663,0.9704618576528505,0.9700854467528043,0.9699248120300752,0.9698006386266792
0.9706766917293234,0.9711819173160162,0.9717830976511326,0.9713902212544238,0.9707734715470475,0.9706766917293234,0.9706310062255531
0.9706766917293234,0.9697583743394503,0.970316836815066,0.9698587077533464,0.9711527865295483,0.9706766917293234,0.9707400891499767
0.9774436090225563,0.9775147220681417,0.9773313771787053,0.9773547654832729,0.977525113397436,0.9774436090225563,0.9774172966282302
0.968421052631579,0.9678865795444958,0.9677157982949188,0.9677514991124333,0.968516567398621,0.968421052631579,0.968418531790849
0.9721804511278196,0.9728141023638477,0.972716513356479,0.9726336305632526,0.972285874751638,0.9721804511278196,0.9720994491476105
0.9796992481203007,0.9794961873381871,0.979722191155157,0.9795549913035856,0.9798174385700696,0.9796992481203007,0.9797039394808938
0.969172932330827,0.9695930293065047,0.9692186885786385,0.9692564421654322,0.9694050390471096,0.969172932330827,0.9691354914288846
0.9744360902255639,0.9747415528250697,0.9746239882139331,0.9745003975717517,0.9746153549524086,0.9744360902255639,0.9743431679810899
0.969172932330827,0.9697765375769366,0.9694843782826614,0.9695450302028821,0.9691948198030632,0.969172932330827,0.96910010120312
0.975187969924812,0.974576957532428,0.9753303119829638,0.974765263009628,0.9754844950072865,0.975187969924812,0.9751492186963501
0.9744360902255639,0.9754670988013231,0.9743649873066124,0.9746422926940997,0.9748574148160997,0.9744360902255639,0.9743696456560882
0.9714285714285714,0.9727964887174665,0.971456892570197,0.9719323981795143,0.9716498828572802,0.9714285714285714,0.9713435894412512
0.9759398496240601,0.9747563825033634,0.9746020278524192,0.9746230797322137,0.9760216997109018,0.9759398496240601,0.9759225811075546
0.9819548872180451,0.9814635680123199,0.9815946630483943,0.981498052919809,0.9819856408068487,0.9819548872180451,0.9819397669339436
0.9781954887218045,0.9783976209012077,0.979200739131018,0.9786923640811522,0.9783683282413069,0.9781954887218045,0.9781712474947271
0.9699248120300752,0.9697499517343875,0.9698517786561265,0.9697533279122486,0.9700814507357617,0.9699248120300752,0.9699540965330044
0.9744360902255639,0.9739229769283326,0.9732870192307693,0.9735486816176173,0.9743253258407775,0.9744360902255639,0.974323106925549
0.968421052631579,0.9678418476364904,0.9672069329610906,0.9674622894972089,0.9683830550752208,0.968421052631579,0.9683382236512468
0.9774436090225563,0.9775728495026741,0.9786203130251092,0.9780284593012654,0.9775079245894441,0.9774436090225563,0.9774060333008183
0.9714285714285714,0.9715560549588951,0.972566177246952,0.9718810865693754,0.9716343054390228,0.9714285714285714,0.9713527020814127
0.9759398496240601,0.9762145641484322,0.9759652414337909,0.9760391832869871,0.9759379360611995,0.9759398496240601,0.9758886941612724
0.9699248120300752,0.9692012201739816,0.9702724108119216,0.9696414731988492,0.9700271773610356,0.9699248120300752,0.9698776897584341
0.9804511278195489,0.9804987524033665,0.9804570870110059,0.9804467524412729,0.9804750203202782,0.9804511278195489,0.9804319940538991
0.9744360902255639,0.9744839813872733,0.9736486067150748,0.9739783811201607,0.9745244760910182,0.9744360902255639,0.9743957450350026
0.9639097744360903,0.962994274869984,0.9636508616034927,0.9631654231956606,0.9640555806619886,0.9639097744360903,0.9638264803877737
0.9661654135338346,0.9655419786929933,0.9644106519259518,0.9648263997131818,0.9662622370727106,0.9661654135338346,0.966068202106504
0.9729323308270676,0.974185426749235,0.9744540509807041,0.9742800776459312,0.972951304523187,0.9729323308270676,0.9729027298678867
0.9744360902255639,0.9754363681572373,0.9749882099759966,0.9749022026684532,0.9749106929820601,0.9744360902255639,0.974355112055842
0.9699248120300752,0.9696997151617163,0.9691905420385588,0.9692792293962131,0.9700814210825529,0.9699248120300752,0.969836200159219
0.9706766917293234,0.9718266396186801,0.9721554116558743,0.9717726752178832,0.9708624539766949,0.9706766917293234,0.9705406835628373
0.9699248120300752,0.9689329831504663,0.9687998768931066,0.9687294938055521,0.9701360426752644,0.9699248120300752,0.9698912272727122
0.975187969924812,0.975715518180307,0.9750563051800766,0.9752922769275749,0.9752369381983913,0.975187969924812,0.9751205545583269
0.968421052631579,0.9677937713984777,0.9680366235801019,0.9677178955497665,0.968614271165005,0.968421052631579,0.9683219297392153
